word,value
ريال,45.96962552432122
مدريد,68.95443828648183
صبحى,51.489487720819774
state,1.0832015661394645
league,208.51723001702922
was,0.0
low,0.017902815738878242
tier,5.7278042006798815
won,13.894116428604782
3,0.0
world,0.255033565729921
cups,15.113585493039755
during,0.0
that,0.0
era,4.3356897829402286
pretty,0.053691276995772835
sure,0.08373282483864572
he,0.7983381543776222
one,0.0
of,0.0
the,0.0
best,0.4090763961582692
players,100.59718660397316
in,0.0
leagues,70.30343418682124
and,0.0
teams,110.9315003419176
barcelona,707.6624762073652
to,0.0
double,0.30690711040618157
investment,2.178026042791668
la,16.284828651753784
neymar,590.3486254665111
jr,40.13655256978453
2016,20.32475993720207
17,4.0299680089754455
●,775.1003064816013
dribbling,125.43267731149811
skills,25.684662254403776
tricks,21.76050299949492
amp,0.5775505449613468
goals,170.5048418307568
hd,117.73321964769195
2017,14.99011933113167
1,0.0
john,3.9606677473027045
surprised,0.18509203841899888
a,0.0
who,0.0
had,0.0
just,0.0
named,1.4153307410367157
broncos,12.10583584921781
ever,0.1316714650134429
soccer,238.21848311181586
watch,1.3793993453047562
online,3.134628012654779
napoli,158.99359470124617
as,0.0
roma,152.36211720509525
/<link>/,0.0
big,0.0
money,0.3071018950585728
europe,13.04381258522941
strikers,29.857279830224055
more,0.2601470206818993
transfer,11.961853582977252
talk,0.038363176583310524
boss,2.9268109822149433
has,0.0
said,0.0
media,1.644644825918123
can,0.0
now,0.0
bid,6.83874530111648
on,0.0
because,0.18600192387821302
recent,0.3863566913534436
departure,5.584632474413195
an,0.0
player,46.97484909403531
from,0.0
club,25.097917199235155
last,0.0
week,0.06391818689972956
chinese,4.123333161710465
told,0.0383877368823216
they,0.6238415041413605
ca,0.0
n’t,5.36505632477632
buy,0.07483213041027417
any,0.0
new,0.15404283042834824
china,10.4220606476555
rules,1.0474345989316185
saying,0.0
only,0.0
three,0.03771173027084044
per,0.5096610219993392
season,28.091475838715358
so,0.0
are,0.0
striker,99.36048177504895
find,0.0
since,0.07222755119669441
found,0.0
way,0.0
play,0.4194373973108617
have,0.0
offered,1.8937417275042552
same,0.09651646221859164
contract,13.864976170829143
back,0.0
diego,35.716292140624034
costa,50.495640952051104
after,0.14125919304840234
it,0.0
got,0.0
within,0.06276027160984014
chelsea,491.59594628722294
team,19.123337842606208
come,0.05688718634075931
out,0.0
if,0.0
do,0.0
offer,0.5051882682811073
him,0.0
did,0.0
would,0.0
leave,0.10169494645498797
these,0.06903164185170793
words,0.09875000865325209
by,0.0
built,0.5170512584598711
’s,10.838317678593224
side,0.04282518522281881
with,0.0
kante,102.43861412381929
“,3.3226091335863464
go,0.0
f,0.6216202402287345
off,0.0
old,0.0
will,0.0
be,0.0
interesting,0.06010230998051982
joins,5.328593502571326
this,0.0
deal,0.09724893343521472
goes,0.06715704011178451
through,0.0
give,0.05177373138878095
game,1.284709594328363
time,0.0
always,0.0
been,0.0
looking,0.0
for,0.0
joining,2.4657896728708124
multi,1.0207781953475923
is,0.0
cavani,34.48894932200665
scored,33.00309277069779
27,4.132817835637495
games,9.368125708239571
top,0.0
goal,18.41613901303082
scorer,16.60424136886142
ligue,60.35154889198575
move,0.13431408022356903
likely,0.12291948532726918
than,0.0
psg,439.42694540689206
already,0.031319911580867485
up,0.0
main,0.14212565490965498
man,0.0
zlatan,323.19907741535803
ibrahimovic,266.3403967219302
at,0.0
end,0.06583573250672145
emery,20.199942338459877
very,0.12016619137149158
interested,0.06909792638817888
belgium,14.223942442491749
christian,6.129907485191889
benteke,22.612138794590187
solid,0.2654736672766211
crystal,21.691615545661964
palace,52.14043521656273
class,0.9203275681643985
prove,0.7384918839793382
his,0.0
worth,0.0
also,0.0
but,0.0
blues,6.60811906089107
may,0.0
want,0.0
keep,0.039629275877832326
hold,0.06080005188274615
leaving,0.3365883811256394
manchester,537.5818460111399
united,109.36978594218739
antoine,30.381529894379433
griezmann,150.88915328377908
silva,62.580978639126215
both,0.0
amazing,0.28397834104411734
their,0.25631192946791553
clubs,80.55142459699253
something,0.06583573250672145
simeone,33.016086413512966
claiming,1.394936437651513
not,0.0
stand,0.10580358069991296
atletico,400.6602356179763
madrid,672.6100166822667
exit,2.0449605101922526
unbelievable,13.038309104010375
monaco,161.2705851147833
7,0.1970570493292509
6,0.0
assists,65.595854464881
helped,0.5370048068126548
‘,13.748257091137008
red,0.5995536239661734
make,0.11952700950249429
2nd,1.7642920166966545
place,0.0
table,2.7554306208647494
uefa,249.64003244367106
year,0.21994887907764699
performances,6.980270012136439
france,16.75802845737698
4,0.0
9,0.14980812274260932
appearances,7.861596825599577
incredible,2.5001779777873714
round,2.0776870467557202
16,1.6655688145701855
ucl,90.59544239372543
2,0.0
matches,29.386341862150438
there,0.2895493866557749
nothing,0.03323745718785937
stopping,0.8210588646893726
two,0.0
other,0.0
news,1.8546832641973339
liverpool,558.2285905864214
american,17.60805776584453
dortmund,267.44258596434844
price,0.4638293656760333
pulisic,19.941726364938898
join,0.9222886707459521
former,2.2491362465160663
epl,207.66252559329675
future,0.08826353843263107
ahead,0.33999388839103034
them,0.1757750139742563
jose,67.94654829813268
made,0.059443913816748496
west,14.034951009077275
ham,57.098515331197675
improve,2.0984294125063436
